,Location,Scene,Text,Speaker,Season
8519,A restaurant,,No  You were saying but…,Leonard,1
8520,Leonard’s lab,,What are we going to do?,Leonard,9
8521,Amy’s lab," Amy is dissecting a brain,",Hi.,Penny,5
8522,Howard and Bernadette’s kitchen,,Uh the one at Caltech has a crazy wait list. I warned you a lot of people apply when they’re still pregnant.,Raj,10
8523,The apartment,,Oh that’s great. You must be thrilled,Penny,7
8524,The apartment," Sheldon is still singing,",It wasn’t amazing. I got a C-minus four years in a row.,Leonard,6
8525,Penny’s apartment,,Oh no. Oh you don’t want to do that.,Leonard,2
8526,A hospital corridor,,You want to talk about crazy mothers Leonard’s mom wouldn’t give him any sort of approval growing up.,Penny,4
8527,The apartment,,Yes I am.,Sheldon,7
8528,Sheldon and Amy’s apartment,,Well no that’s not true. I mean sometimes it’s Koothrappali. But we’re not supposed to say that ’cause he’s a minority.,Sheldon,10
8529,The apartment,,Lot of big talk from a man who can’t draw a chocolate chip cookie.,Sheldon,6
8530,The apartment," Leonard enters, drops his keys in the bowl by the door, then collapses onto the settee, Sheldon enters from the bedroom area,",Did the laser accidentally burn out your retinas?,Sheldon,2
8531,The stairwell,,No just neighbours.,Leonard,2
8532,The apartment,,But you forget I did ask you out in real life.,Leonard,7
8533,Penny’s apartment,,And you know from past experience this table cannot support both our weight. So how’s the detector going?,Penny,8
8534,The park," The four guys are carrying remote control rockets,",I don’t know if the ticket was so much for the launch as it was for you telling the policewoman “you have to frisk me I have a rocket in my pants.”,Leonard,1
8535,The roof,,Penny. ,Raj,5
8536,Leonard’s bedroom," Leonard wakes to the sound of bongos,",Stop! Stop it! Stop! Stop! Stop it!,Leonard,5
8537,Leonard and Penny are in bed,,You mean like a pinky swear?,Penny,3
8538,The Le Brea Tar Pits,,Fine. Go ahead.,Howard,3
8539,The apartment,,Leonard?,Sheldon,10
8540,Penny’s apartment,,This would have been so much more romantic if you didn’t have monkey hair on your finger.,Leonard,7
8541,The apartment,,Of course. Out of respect.,Leonard,2
8542,Amy’s lab,,I don’t understand. I thought you’d be thrilled to procreate with me.,Sheldon,10
8543,The Cheesecake Factory,,I’m sorry do I really need to connect the dots for you? The backwash into this glass is every pathogen that calls your mouth home sweet home. Not to mention the visitors who arrive on the dancing tongue of your subtropical girlfriend.,Sheldon,4
8544,The stairwell,,In these uncertain times doesn’t humanity deserve a gift?,Sheldon,4
8545,Leonard and Sheldon, Inside Leonard’s car,Leonard the two of us can’t even carry a TV.,Sheldon,1
8546,Howard’s house,,,Howard,4
8547,The apartment,,I think we’d make amazing parents.,Leonard,9
8548,The apartment,,You robbed me of my greatest achievement.,Sheldon,7
8549,A park,,I mean I like a little brown sugar.,Penny,10
8550,The apartment,,How would I know? I’m not listening to you.,Sheldon,6
8551,Sheldon and Amy’s apartment,,It’s not complicated. Amy’s driving that’s it.,Penny,10
8552,The dining car,,Do you want to come with me?,Sheldon,7
8553,Leonard’s bedroom,, Is this your card?,Sheldon,4
8554,The apartment,,Go out and celebrate. But not your worst idea.,Leonard,9
8555,Rothman’s office,,Oh of course you are. Feel free to drop by any time.,Sheldon,5
8556,The clean room,,See? Better with the accent.,Howard,8
8557,The cafeteria,,Well it has. Ask anybody.,Sheldon,5
8558,The apartment,,Sure. What are you doing?,Leonard,5
8559,The apartment,,Yeah look. Breasts and everything.,Raj,3
8560,Howard and Bernadette’s apartment,,Damn it.,Howard,6
8561,The stairwell," The guys are coming up the stairs, all still holding the ring,",Whatcha doin’?,Penny,3
8562,The same," later,",If I need a break I’ll ask for a break.,Leonard,10
8563,The apartment," The guys are watching Avatar in 3D, All are wearing 3D glasses except Raj,",Good?,Howard,3
8564,An ice-cream parlour,,All right.,Penny,10
8565,The comic book store,,Good talk.,Howard,9
8566,Penny’s apartment,,Sure.,Penny,6
8567,A few moments later,,,Howard,3
8568,The apartment,,No wait uh hold on. Oh what you are. Aren’t you sweet?,Sheldon,10
8569,The living room,,Yes if she googles Leopold Houston she’ll find a facebook page an online blog depicting his descent into drug use and a desperate yet hopeful listing on e-harmony.com.,Sheldon,1
8570,The apartment,,Okay back to me. I discovered an asteroid and now I get to name it.,Sheldon,9
8571,A few moments later,,What suddenly I’m not good enough for you?,Raj,3
8572,The cafeteria,,,Howard,4
8573,The cafeteria,,Yeah you make a good point. It would appear I was worried for nothing. Look at her desperately wishing she was over here at the cool table. Don’t worry little moth. The flame will come to you.,Sheldon,7
8574,The apartment," Leonard is dressed as Green Lantern, Sheldon as The Flash,",This is how the Flash paces.,Sheldon,4
8575,The laundry room,,This one is too.,Leonard,7
8576,The living room," Howard on his laptop,",Or it turned into mustard Kryptonite the only way to destroy a rogue Kryptonian hotdog threatening Earth.,Howard,2
8577,Raj’s car,,Okay everybody calm down. There is a simple solution here. Raj take me to the train store and then I don’t care what you people do.,Sheldon,5
8578,The university cafeteria,,What are you talking about?,Leonard,3
8579,The apartment,,Forty-five.,Howard,3
8580,The apartment,,Oh please you know I’ll tell you how he did it. Implacable relentless badgering. In urology terms he was a drug-resistant staph infection. And she was a urethra that could not shake him.,Sheldon,8
8581,The comic book store,,Problem?,Leonard,2
8582,The lobby," Sheldon is listening to an iPod,",No no that’s crazy. You go ahead and talk while I figure it out.,Sheldon,1
8583,Entering the lobby of the building,,Well you clearly did something to aggravate her.,Leonard,2
8584,Raj’s apartment,,Okay maybe we should just end this.,Howard,10
8585,A bar,,Oh we went out a couple of times.,Penny,4
8586,The apartment,,But why should you get to go and leave me here with your bickering parents?,Sheldon,10
8587,A clothes shop,,Bye.,Penny,8
8588,The bar of the Cheesecake Factory,,Well I was getting your stupid umbrella but all right. What’s troubling you buddy?,Penny,4
8589,The cafeteria,,Oh my goodness. Aren’t you the cutest little Yorkie ever? You got him for me?,Howard,5
8590,Bernadette’s car,,Son of a gun you’re blowing my mind!,Howard,4
8591,Penny’s apartment,,No it’s it’s almost done. I just I have to find the next of kin and send ’em the DVD and then just wait for someone with my complexion to die so I can get a skin graft.,Leonard,7
8592,Howard’s bedroom," Howard enters in a silk dressing gown, puts on romantic music and sets up mood lighting, Gets onto bed,",Oh not really just hang out.,Howard,4
8593,Howard and Bernadette’s house,,Well in addition to Amy leaving me Leonard’s moving in with Penny. It’s difficult not to feel abandoned.,Sheldon,9
8594,The apartment,,I’m sorry what is this plan you have?,Leonard,10
8595,The cafeteria,,That’s what she said.,Howard,4
8596,The apartment,,,Howard,2
8597,Howard and Bernadette’s apartment,,I know.,Howard,8
8598,The next morning,,How many times have I asked you not to do that?,Leonard,3
8599,The stairwell,,What a wonderful day thank you.,Sheldon,9
8600,Amy’s apartment,, Birthday girl.,Sheldon,9
8601,The apartment,,Not very.,Sheldon,8
8602,The apartment,,I wrote a paper on our idea.,Sheldon,8
8603,The apartment,,I’ve decided I’m going to have Mr. Lee sign my copy of this month’s Batman.,Sheldon,3
8604,Penny’s apartment," There is a knock,",You know what if you ever want to talk to me about a problem in your life with a guy then I would be fine with that.,Leonard,5
8605,The apartment,,Well we are because Dr. Gallo made me realize that I’m a worthwhile person and that my feelings matter.,Leonard,9
8606,Howard and Bernadette’s house,,Hey I don’t even live here.,Raj,8
8607,Howard’s bedroom,,You make sissy on your belt buckles? Mee-Maw’s forks never had that.,Sheldon,5
8608,Raj’s car,,So what do you guys want to do?,Howard,8
8609,A supermarket,,Yeah it’s nothing to cry about.,Raj,7
8610,The apartment,,It’s live. Go go go go go.,Sheldon,7
8611,The bar,,Laura that half the dirty movies you own are animated.,Penny,5
8612,Penny’s apartment,,Okay well this is cool. Uh there’s a thing called superfluid vacuum theory where empty space is imagined as a superfluid with all of its qualities viscosity density surface tension…,Leonard,8
8613,Sheldon’s bedroom,,Sheldon this is ridiculous.,Leonard,4
8614,The apartment,,Soon.,Penny,6
8615,Sheldon and Amy’s apartment,,Just so you know that guy in the parking lot hit me.,Penny,10
8616,The apartment,,Not with a thousand condoms Howard.,Penny,2
8617,The cafeteria,,I always tell people if you have only one day in Los Angeles make it a train day.,Sheldon,4
8618,The cafeteria,,Oh come on. I don’t want to sit by myself.,Howard,3
8619,Penny’s apartment,,I liked it. I’m excited.,Penny,6
8620,The University clean room,,Okay how do we catch it?,Leonard,8
8621,A bathroom at the university,,Kripke?,Sheldon,5
8622,The lobby," Sheldon is playing his theramin,",And Leonard didn’t want to work with you? Imagine that.,Penny,4
8623,The same," later, Sheldon is on his laptop, Leonard enters,",Just look. I’ve designed the perfect uniforms for our team. The colours are based on Star Trek the original series. The three of you will wear support red and I will wear command gold.,Sheldon,1
8624,Moments later,,So Sheldon’s last roommate tried to warn you off?,Penny,3
8625,The apartment,,You guys made a person.,Howard,9
8626,The apartment,,No if it was a spider Lenny would’ve flipped out.,Penny,7
8627,Sheldon," dreaming he is in the living room of the apartment on his laptop,",Wow. Uh you’re dead so I’m going to let that slide. Obi-Wan Kenobi is a character from Star Wars. After his physical demise he comes to Luke Skywalker as his mentor in spirit form.,Sheldon,7
8628,The comic book store,,Well I took out the bad words and the yeehaw but you get the gist.,Sheldon,5
8629,Mrs Wolowitz’s house,,Wow so you’re not curious at all?,Raj,8
8630,The apartment,,Oh that’s preposterous. I’m not pining over anyone.,Sheldon,4
8631,Howard’s bedroom," The phone is ringing,",Hee hee hee hee hee hee hee hee.,Howard,1
8632,The apartment,,Comic book store.,Leonard,2
8633,The apartment,,I’m helping you with Stephanie.,Sheldon,2
8634,Howard and Bernadette’s apartment,,Oh like you and I did at couples therapy.,Raj,8
8635,Penny’s apartment,,Now in this pivotal scene Sheldon’s mother played by you argues with an emissary of the United Federation of Planets Mr. Spock the role I will bring to life.,Sheldon,4
8636,The apartment,,Roll the dice Leonard.,Sheldon,3
8637,The apartment,,Okay. Does that planet have to be Earth?,Sheldon,8
8638,The apartment,,What do manners have to do with it? This is war. Were the Romans polite when they salted the ground of Carthage to make sure nothing would ever grow again?,Sheldon,1
8639,Penny’s apartment,,I meant more like a little brother.,Penny,8
8640,The apartment,,I’m not asking for me I’m asking for Hawking.,Sheldon,5
8641,Penny’s apartment,,Wow I just felt this wave of affection for you.,Penny,8
8642,The laundry room,,Does that change things?,Leonard,2
8643,Mrs Wolowitz’s House,,When did you figure out you were allergic to nuts?,Howard,6
8644,The apartment,,Here you can have your seat.,Raj,7
8645,The stairwell,,All right let me start again. Uh you and Amy…,Leonard,10
8646,The apartment," the guys are still searching for the cricket, They are inside the cupboard,",My stomach. Indian food doesn’t agree with me. Ironic isn’t it?,Raj,3
8647,Penny’s flat," Penny is eating ice cream from the tub,",Sandwich shop.,Penny,1
8648,Outside Penny’s apartment,,I don’t know but apparently I’m in some kind of relationship and you seem to be an expert at ending them.,Sheldon,2
8649,The apartment,,I’m so sick of people being mean on the Internet.,Raj,8
8650,The same,,Thank you I’ve got to talk to that mailman.,Penny,1
8651,Penny and Leonard exiting Leonard’s bedroom,,Aha! So I am working with you.,Howard,3
8652,The apartment,,Clarify something for me. Isn’t the point of a communal meal the exchange of ideas and opinions? An opportunity to consider important issues of the day?,Sheldon,4
8653,The supermarket,,Uh no no not really. Listen didn’t you say you needed some eggs.,Penny,1
8654,The apartment,,That we go back to the way things were. But when I do something for you you show a little appreciation.,Leonard,5
8655,A hospital waiting room,,Fair enough.,Sheldon,9
8656,The hallway," Sheldon is opening the apartment door, Penny comes running up stairs,",I’ll pay you back as soon as I can.,Penny,2
8657,The following morning," Sheldon is in the kitchen making breakfast, He crosses to the couch, sees Penny sleeping there, looks lost, He is about to sit down on Penny when Leonard enters,",Uh what time is it?,Penny,1
8658,The apartment,,All right we’re heading out.,Penny,10
8659,Penny’s apartment,,I know. I mean do I open it? Do I return it?,Raj,9
8660,The memorial,,I don’t want any more but let’s go.,Sheldon,6
8661,A coffee shop,,So all right there he is. So should we introduce ourselves?,Raj,9
8662,Dr Lorvis’ basement,,I’m still upset about that peanut sauce.,Sheldon,8
8663,Penny’s apartment,,And oh that’s me getting rescued after I fell in.,Leonard,7
8664,Leonard’s car,,No. Why do you ask?,Leonard,4
8665,The apartment,,Oh ooh! And that makes Leonard angry.,Sheldon,10
8666,Howard and Bernadette’s house,,No it’s a gentle kick you’re doing it wrong. Here. Give me those.,Howard,10
8667,The apartment,,Oh I’ll have some wine and listen to people go on about crap I don’t understand. I mean how is it any different than every single day of my life?,Penny,10
8668,The Cheesecake Factory,,Wait. What the hell is ding?,Howard,4
8669,Inside Penny’s apartment," They are laying the package down on the floor,",,Sheldon,1
8670,The apartment,,Ooh uh Emily gets off work soon. Why don’t the four of us go out?,Raj,8
8671,The apartment,,To be truthful Emily and I haven’t dated that long and we never agreed to be exclusive to each other.,Howard,7
8672,Mrs Wolowitz’s house,,,Howard,7
8673,Amy’s laboratory,,Well we were just on our way to lunch and wanted to see if you’d like to join.,Raj,7
8674,The apartment,,Hey.,Penny,10
8675,A sports bar,,You’re forgetting something. Ladies love jocks.,Sheldon,9
8676,The apartment,,Yeah.,Penny,10
8677,The delivery suite,,I know that. But to be fair I’ve spent nine months helping Bernadette get ready for this baby and Howard spent five minutes conceiving it. And I’m being generous.,Howard,10
8678,The apartment,,Seriously? Airborne worms?,Sheldon,8
8679,The Cheesecake Factory,,It’s on like Alderaan.,Howard,5
8680,Howard and Bernadette’s House,,Raj you’re probably wondering why Amy and I aren’t showing any affection to one another.,Sheldon,9
8681,The apartment,,Okay fine Sheldon. What is your side?,Penny,7
8682,The living room," Howard and Raj are staring intently at the television, Leonard enters,",Dill slices not sweet?,Sheldon,2
8683,Mrs Wolowitz’s kitchen,,Ooh. Ooh ooh. We could make a video-playing device that simultaneously translates the information into a tactile medium.,Howard,8
8684,Raj’s car,,Oh but I’m not going home. It’s Wednesday Wednesday is new comic book day we have to go to the comic book store. And then we have to stop at Soup Plantation it’s creamy tomato soup day and Radio Shack there’s a sale on triple-a batteries. Plus we have to go to Pottery Barn and return my Star Wars sheets.,Sheldon,2
8685,The apartment,,Batman. Batman and Robin. Uh Wonder Twins plus the monkey. Wonder Twins plus the monkey and Batman.,Leonard,6
8686,The comic book store,,Dude you have to stop talking like that. It’s really lame.,Raj,3
8687,The apartment," Howard is setting up a large kit of high tech equipment,",I haven’t fastened my seat belt yet.,Sheldon,2
8688,Penny’s bathroom,,How did you get paint in your eye?,Penny,8
8689,Leonard’s car,,Leonard help.,Howard,3
8690,The stairwell,,Zone.,Sheldon,7
8691,The university basement,,If it’s an alternate dimension sounds like a job for a landing party.,Howard,6
8692,The bar,,Hmm. You think you’re five-foot-six that’s funny.,Penny,7
8693,The apartment,,Aaargh.,Leonard,10
8694,Sheldon’s bedroom,,It’s a simple matter. There are several toxic chemicals that’d be untraceable in an autopsy.,Sheldon,3
8695,The apartment,,Oh it’s very simple. Scissors cuts paper paper covers rock rock crushes lizard lizard poisons Spock Spock smashes scissors scissors decapitates lizard lizard eats paper paper disproves Spock Spock vaporizes rock and as it always has rock crushes scissors.,Sheldon,5
8696,Penny’s apartment,,Oh and we’re going to use props?,Sheldon,4
8697,The stairwell,,Wolowitz might hand out cigars. I had to find my bubble gum cigar so I could join in without looking foolish.,Sheldon,10
8698,The Cheesecake Factory," Raj and Sheldon are arm wrestling while playing tetris, There is a cacophony of cries such as “take him down” and “he’s got you, Sheldon,”",For the record that psychotic rant was a concise summation of the research of Bertram Forer who in 1948 proved conclusively through meticulously designed experiments that astrology is nothing but pseudo scientific hokum.,Sheldon,1
8699,The university cafeteria," Leonard’s phone rings,",At times.,Sheldon,2
8700,The apartment," Leonard is on skype,",Uh kind of?,Leonard,5
8701,Leonard’s bedroom,,Oh yes. Indeed I did.,Leonard,4
8702,The apartment,,You know Leonard the more I think about it there are a number of mutually owned items in this apartment that you and I should go through. Uh for example who gets our beloved sword Longclaw?,Sheldon,10
8703,Bernadette’s apartment," Howard knocks on door,",Sheldon that’s my water.,Howard,4
8704,Inside Sheldon and Leonard’s apartment,,Not to mention imaginary.,Sheldon,1
8705,The restaurant,,What? Why?,Leonard,9
8706,Sheldon and Amy’s apartment,,Yeah I saw something for Halley and I couldn’t resist.,Howard,10
8707,Amy’s apartment," Amy is playing a harp,",Thank you.,Sheldon,5
8708,Sheldon and Leonard’s apartment," Sheldon, Leonard, Howard and Raj are present,",I’m just going to go wash up.,Penny,1
8709,The same," clearing up,",Okay… if I may drill down to the bedrock of my question why did you throw it out.,Leonard,1
8710,The apartment,,Ugh fine I’ll go. But if her food is delicious Thanksgiving is ruined and it’s on you.,Sheldon,7
8711,The apartment,,Is that right?,Howard,8
8712,The apartment,,No I don’t think so. Those dolls represent three things I do not care for clowns children and raggediness. I think it’s a lost cause.,Sheldon,6
8713,Howard and Bernadette’s bathroom,,Uh well she’s single so if somebody else asks her out and she says yes then we know she’s not into Sheldon.,Howard,10
8714,The apartment," Halo night,",I can’t see him.,Raj,1
8715,The apartment,,Are you serious?,Raj,10
8716,The apartment,,Not at all. In Star Wars when the stormtroopers would march in perfect formation harassing civilians didn’t you ever think hey that could be me?,Sheldon,10
8717,The apartment,,Good night indeed. What a rube. Why would I put on lotion when I have such soft hands?,Sheldon,7
8718,Penny’s door,,Leonard last night was a mistake.,Penny,3
8719,The apartment,,Oh Leonard. Now how can you not get that?,Sheldon,6
8720,The apartment,,Stuart.,Leonard,9
8721,The same," later,",Wait so how does the story end? Is the baby a jerk or is Bernadette a bad mother?,Sheldon,10
8722,The apartment,,All right. Let’s just finish cooking.,Penny,9
8723,The apartment,,So what did she say when you told her we were going out?,Penny,3
8724,The living room," Sheldon brings Leonard a cup of tea,",That’s right you saw what you saw. That’s how we roll in The Shire. ,Leonard,1
8725,The telescope room,,Great. Where would you like to go?,Raj,10
8726,Penny’s apartment,,Okay at some point we’ll look back and this is going to be a funny story. Why don’t we just start doing that now?,Leonard,5
8727,Penny’s apartment,,With a heavy heart Amelia stood before the newly repaired time machine. She regretted giving Cooper the part he needed.,Penny,8
8728,Sheldon’s bedroom," Sheldon is playing with his train set,",Do you have cookies?,Sheldon,7
8729,Amy’s apartment,,Huh I try.,Penny,5
8730,The stairwell,,They lose their sensitivity to serotonin and norepinephrine.,Sheldon,3
8731,The stairwell," Leonard is returning home looking dishevelled,",No I mean I I I got the money first.,Leonard,4
8732,The cinema,,Shh we’re trying to watch the movie. This is not working out with him.,Sheldon,6
8733,On the train,,All right.,Sheldon,2
8734,The pub,,Sheldon you’re just assigning random numbers to things based on your opinion.,Leonard,8
8735,The apartment,,It’s just the four digits month and day.,Leonard,9
8736,The apartment,,I don’t know.,Penny,10
8737,The same,,Uh yeah uh I just I got your mail again here.,Leonard,1
8738,The laundry room,,Well why would you want to be on someone’s team who you like to call a I can’t even say it in front of Sheldon.,Leonard,7
8739,The apartment,,Really. Who do you think did that Sheldon?,Leonard,5
8740,A coffee shop,,They sound delicious but this money is earmarked for scones.,Sheldon,4
8741,The temple car park,,Whether you call it God or the universe or the self we’re all interconnected and that’s just a beautiful… Son of a bitch that guy just dinged my car. S seriously? You were just gonna drive away? Like my life isn’t hard enough right now. A space probe might be destroyed my parents are going through an awful divorce the guy who cuts my dog’s hair just gave her bangs.,Raj,8
8742,The apartment,,No.,Leonard,6
8743,Howard’s old bedroom," A phone is ringing,",Actually I’m still here.,Raj,6
8744,Penny’s apartment," Penny is texting,",Really? Here?,Leonard,6
8745,Sheldon’s bedroom,,Good night Leonard.,Penny,3
8746,The apartment,,,Howard,2
8747,The conference room,,I heard he was being picked on by a mean kid.,Penny,8
8748,The apartment,,Raj you’re our group historian. Has Sheldon ever begged before?,Leonard,5
8749,The lab,,Whoa I’m calling my dad okay? He’s got experience dealing with pregnant ladies because he’s an OBGYN. And experience with crazy ladies because of my mom.,Howard,10
8750,Sheldon’s office," He is making annotations on his board,",Here look look I found my missing neutrino.,Sheldon,2
8751,The cafeteria,,I could have made her very happy.,Raj,10
8752,Howard and Bernadette’s house,,It’s okay. It’s by choice. Well their choice and it’s not okay.,Raj,10
8753,The Cheesecake Factory,,Why is that funny? That’s just unhygienic.,Sheldon,7
8754,Penny," Sheldon, Raj and Leonard stand in the apartment doorway, Romantic music plays from Penny’s apartment door,",It’s up to you crazy person’s choice.,Leonard,1
8755,A little later,,I know that you worked hard to put this together. I’m sorry I’m ruining it.,Sheldon,9
8756,The apartment,,You’re boring people sweetie.,Penny,3
8757,The office,,Go ahead make fun. You can’t embarrass me I’ve got a beautiful girlfriend and a dog who loves me so much she drinks my bathwater.,Howard,8
8758,The North Pole,,Flash-frozen brown rice not white?,Sheldon,2
8759,Penny’s car,,You kiss your mother with that mouth? ‘Cause it’s fine.,Penny,10
8760,Outside Penny’s door,,The robot didn’t hurt his feelings.,Leonard,2
8761,The apartment,,Boy I’m not nearly as mysterious as I think I am.,Sheldon,8
8762,The apartment,,I like a party as much as the next man as long as the next man doesn’t like a party. Oh by the way don’t forget tomorrow is our quarterly roommate agreement meeting.,Sheldon,9
8763,Later,,Barry a word?,Sheldon,9
8764,Penny’s car,,Yikes. What’s so funny?,Penny,3
8765,The apartment,,Uh-oh! Industrial accident.,Sheldon,3
8766,The apartment,,Excuse me but was this not your goal? Financial independence through entrepreneurial brilliance and innovation? My brilliance and innovation of course but still.,Sheldon,2
8767,Amy’s lab,,Zack.,Sheldon,4
8768,Howard and Bernadette’s garage,,Hey show her the trunk. Show her the trunk.,Raj,10
8769,Sheldon and Leonard’s apartment," There is an urgent rapping at the door,",What happens in costume at Comic-con stays at Comic-con.,Howard,2
8770,The Cheesecake Factory,,Well I do. Next to you I’ll look like a catch.,Howard,3
8771,The ball pit," presumably earlier,",Sheldon come here.,Leonard,3
8772,The stairwell," They ascend without talking,",You do? Because if that’s what you like I can be that guy. I swear I’ll be anything you want me to be.,Leonard,5
8773,A corridor at a sperm bank,,I think this is the place.,Sheldon,1
8774,The same," later,",Got it.,Penny,9
8775,Emily’s apartment,,Yeah.,Raj,9
8776,The cafeteria,,How did you get your hands on that?,Raj,6
8777,A restaurant,,Of course yeah emotional chafing. Hey do you want to see something cool?  I can make this olive go into this glass without touching it.,Leonard,1
8778,Leonard’s car,,Something’s wrong I’m not getting any gas. Anybody know anything about internal combustion engines?,Leonard,4
8779,The cafeteria,,Any intelligent organism would at the very least need the ability to locate the position of objects in space. So the ideal interstellar lingua franca would be haptic.,Sheldon,8
8780,The apartment,,Sheldon says impossible. Howard and I say not only possible but as a mode of transportation way cooler than a Batmobile.,Howard,3
8781,The apartment,,Leonard what time does your mom’s plane get in?,Penny,8
8782,Penny’s door,,Sure anything.,Penny,4
8783,The apartment,,Oh big deal. Not knowing is part of the fun.,Penny,4
8784,The apartment,,Come on. It’s okay.,Leonard,7
8785,The apartment,,Aw. What’s wrong with her?,Leonard,7
8786,The cafeteria,,Oh great there’s Mandy.,Leonard,9
8787,Inside the apartment,,Sheldor?,Penny,2
8788,The apartment,,57 58 59 that’s one minute.,Leonard,6
8789,The apartment,,Why?,Raj,2
8790,The university cafeteria,,I am taking Penny.,Leonard,3
8791,Penny’s apartment,,Oh Penny I am so sorry.,Leonard,1
8792,The stairwell,,Alright Kripke that last interest strikes me as the least objectionable and I would like to propose that we do that together. Tomorrow. Yes I’ll pay. Alright goodbye. Alright! Time to learn rock climbing.,Sheldon,2
8793,The comic book store,,Then why did you tell me you had it?,Penny,3
8794,Sheldon’s bedroom,,Sheldon Cooper’s descent into madness day two. It’s 225 a.m. and I feel the urge to urinate. My normal urination time is 710 a.m. but here I am in the middle of the night struggling to keep my mind sharp and my pajamas dry. It’s only a matter of time before my tenuous grasp on reality fades. I suppose I should pee while I still know what a toilet is.,Sheldon,9
8795,Sheldon’s classroom,,Mmm I love how they put a waterfall at centre field. It really ties the whole stadium together.,Howard,8
8796,The cafeteria,,Yes. As it turns out there’s an article on how to get over a breakup in literally every issue. Anyway it suggests that I set these on fire but the smell of burning books reminds me of church picnics in East Texas.,Sheldon,7
8797,Amy’s apartment,,How dare the university force me to go back to string theory?,Sheldon,7
8798,The apartment,,I’m fine.,Penny,4
8799,Sheldon and Leonard’s apartment,,So Klingon boggle?,Penny,1
8800,Howard and Bernadette’s apartment,,You idiot what the hell do you have in there?!,Penny,6
8801,The apartment,,I really think this is gonna be for the best.,Penny,7
8802,Penny’s apartment, ,But it it doesn’t matter. We know the answer come on.,Penny,7
8803,The goth club,,Very very smart guys.,Howard,3
8804,The apartment,,Meemaw resisted at first but now she loves it.,Sheldon,4
8805,The award ceremony,,Fine faint.,Penny,3
8806,The Physics Bowl,,Actually I don’t need a team I could easily defeat you single-handedly. But the rules require four so may I introduce the third floor janitor he lady from the lunchroom and my Spanish is not good either her son or her butcher. And what about your team? What rat have you recruited to the SS Sinking Ship?,Sheldon,1
8807,The cafeteria,,,Howard,4
8808,The ground floor hallway,,Uh just the latest copy of Applied Particle Physics Quarterly.,Sheldon,1
8809,The apartment,,What?,Raj,8
8810,The apartment,,They took our TV two laptops four external hard-drives our PS2 our PS3 our X-Box our X-Box 360 our classic Nintendo our Super Nintendo our Nintendo 64 and our Wii.,Sheldon,3
8811,The same," later,",Hang on. No offence to her father but he’s not an MIT trained engineer. Thinking and building is what you do.,Howard,10
8812,The building foyer,,Okay um look I’m pretty sure she didn’t wink at you.,Leonard,8
8813,Sheldon’s bedroom,,Shame on you! That’s no dream for a scientist!,Sheldon,3
8814,Penny’s apartment," Penny is on the phone,",,Howard,2
8815,The stairwell,,I’m so lonely.,Raj,5
8816,Penny’s apartment,,Look at that I built a fireplace with my own two hands.,Leonard,6
8817,The street outside the apartment block,,It’s getting beautiful again.,Howard,5
8818,The apartment,,Hey come on guys focus. Um uh oh mighty Nicolas Cage tree we thank you for your warning but we are brave warriors and nothing short of death will keep us from our goal.  Oh Lucy’s free after all. See ya.,Raj,6
8819,The apartment,,Kind of a wuss.,Sheldon,9
8820,A corridor at the conference," Penny is attaching Leonard’s name tag,",It’s a classic right?,Leonard,1
8821,Sheldon and Leonard’s apartment," Sheldon, Leonard, Howard and Raj are using laptops, All are wearing microphone headsets,",Raj no it’s a trap they’re flanking us!,Leonard,1
8822,The comic book store,,Well uh how about you keep the store open late and we throw a party for all the people who don’t have dates?,Raj,6
8823,The apartment,,Really?,Leonard,8
8824,The wine tasting,,,Howard,9
8825,The same," later,",What am I supposed to do? How am I supposed to choose between Emily and Lucy?,Raj,7
8826,The apartment,,Why would your Bernadette thing make me feel better? At least mine was educational.,Sheldon,10
8827,The cafeteria,,Almost. Franken Berry Boo Berry Sugar Bear and the Honey Nut Cheerio bee I believe his name is Buzz.,Raj,6
8828,The same," Everyone is eating, Sheldon is perched on the back of Leonard’s chair, He keeps making moaning noises, Saying “Excuse me” he tries moving back to his spot, but the cushion is not there, He tries perching on the arm in various positions,",Why don’t I just eat in my desk chair?,Sheldon,2
8829,The apartment,,Where are you gonna live?,Leonard,2
8830,The apartment,,No hang on. Hang on. Are all those things equal to you?,Leonard,7
8831,Leonard’s bedroom,,Okay. Uh uh you’re not naughty. Uh you’re you’re you’re dirty. You’re you’re a a dirty girl?,Leonard,5
8832,Sheldon and Leonard’s apartment," Sheldon, Leonard, Howard and Raj are using laptops, All are wearing microphone headsets,",We could cut it into thirds.,Howard,1
8833,The Cheesecake Factory,,Make it two.,Leonard,1
8834,The apartment,,That was a great meal.,Leonard,4
8835,The apartment kitchen,,Let me guess motion sensors?,Leonard,3
8836,The cafeteria,,Ooh I I think it’s done. Oh it worked. We printed a whistle.,Howard,6
8837,The apartment,,Yes and Hawkeye’s in the Avengers but no one ever says help Hawkeye.,Sheldon,7
8838,The diner,,Uh we’re going to the Comic-Con in Bakersfield. They have a big costume contest. It’s cooler than it sounds.,Leonard,6
8839,The cinema,,Well I enjoyed that more than I thought I would.,Sheldon,9
8840,Sheldon and Amy’s apartment,,It seems we have a choice to make. Abandon all ground rules in the name of science or give up collaborating for the sake of our relationship.,Sheldon,10
8841,The apartment,,Crikey what flag do we have today?,Sheldon,8
8842,The apartment,,She.,Penny,9
